start_time,end_time,predicted_class,predicted_class_str
2025-06-30 16:58:04.248900,2025-06-30 16:58:14.248800,3,sleep
2025-06-30 16:58:09.248850,2025-06-30 16:58:19.248750,3,sleep
2025-06-30 16:58:14.248800,2025-06-30 16:58:24.248700,3,sleep
2025-06-30 16:58:19.248750,2025-06-30 16:58:29.248650,3,sleep
2025-06-30 16:58:24.248700,2025-06-30 16:58:34.248600,3,sleep
2025-06-30 16:58:29.248650,2025-06-30 16:58:39.248550,3,sleep
2025-06-30 16:58:34.248600,2025-06-30 16:58:44.248500,3,sleep
2025-06-30 16:58:39.248550,2025-06-30 16:58:49.248450,3,sleep
2025-06-30 16:58:44.248500,2025-06-30 16:58:54.248400,3,sleep
2025-06-30 16:58:49.248450,2025-06-30 16:58:59.248350,3,sleep
2025-06-30 16:58:54.248400,2025-06-30 16:59:04.248300,3,sleep
2025-06-30 16:58:59.248350,2025-06-30 16:59:09.248250,3,sleep
2025-06-30 16:59:04.248300,2025-06-30 16:59:14.248200,3,sleep
2025-06-30 16:59:09.248250,2025-06-30 16:59:19.248150,3,sleep
2025-06-30 16:59:14.248200,2025-06-30 16:59:24.248100,3,sleep
2025-06-30 16:59:19.248150,2025-06-30 16:59:29.248050,3,sleep
2025-06-30 16:59:24.248100,2025-06-30 16:59:34.248000,3,sleep
2025-06-30 16:59:29.248050,2025-06-30 16:59:39.247950,3,sleep
2025-06-30 16:59:34.248000,2025-06-30 16:59:44.247900,3,sleep
2025-06-30 16:59:39.247950,2025-06-30 16:59:49.247850,3,sleep
2025-06-30 16:59:44.247900,2025-06-30 16:59:54.247800,3,sleep
2025-06-30 16:59:49.247850,2025-06-30 16:59:59.247750,3,sleep
2025-06-30 16:59:54.247800,2025-06-30 17:00:04.247700,3,sleep
2025-06-30 16:59:59.247750,2025-06-30 17:00:09.247650,3,sleep
2025-06-30 17:00:04.247700,2025-06-30 17:00:14.247600,3,sleep
2025-06-30 17:00:09.247650,2025-06-30 17:00:19.247550,3,sleep
2025-06-30 17:00:14.247600,2025-06-30 17:00:24.247500,3,sleep
2025-06-30 17:00:19.247550,2025-06-30 17:00:29.247450,3,sleep
2025-06-30 17:00:24.247500,2025-06-30 17:00:34.247400,3,sleep
2025-06-30 17:00:29.247450,2025-06-30 17:00:39.247350,3,sleep
2025-06-30 17:00:34.247400,2025-06-30 17:00:44.247300,3,sleep
2025-06-30 17:00:39.247350,2025-06-30 17:00:49.247250,3,sleep
2025-06-30 17:00:44.247300,2025-06-30 17:00:54.247200,3,sleep
2025-06-30 17:00:49.247250,2025-06-30 17:00:59.247150,3,sleep
2025-06-30 17:00:54.247200,2025-06-30 17:01:04.247100,3,sleep
2025-06-30 17:00:59.247150,2025-06-30 17:01:09.247050,3,sleep
2025-06-30 17:01:04.247100,2025-06-30 17:01:14.247000,3,sleep
